label	question	sentence
1	Whose former headquarters was the WSE located in until 2000?	It was re-established in April 1991, following the end of the post-war communist control of the country and the reintroduction of a free-market economy.
1	What year did Börte's give birth to Jochi?	Soon after Börte's marriage to Temüjin, she was kidnapped by the Merkits and reportedly given away as a wife.
1	Who did the NIF regime harbor prior to 9/11?	After al-Nimeiry was overthrown in 1985 the party did poorly in national elections, but in 1989 it was able to overthrow the elected post-al-Nimeiry government with the help of the military.
1	Besides the radicals who else did Luther have to deal with?	By working alongside the authorities to restore public order, he signalled his reinvention as a conservative force within the Reformation.
1	When did he first mention wireless communication?	He also built a wireless controlled boat, one of the first ever exhibited.
1	Who criticised the security bill?	In December 2014, President Uhuru Kenyatta signed a Security Laws Amendment Bill, which supporters of the law suggested was necessary to guard against armed groups.
0	Who was ABC Great States sold to in 1974?	Citing limited profitability of its cinemas, ABC Great States, the Central West division of ABC Theatres, was sold to Henry Plitt in 1974.
0	When was Europe fully forested and recovered from the last Ice Age?	By 9000 BP, Europe was fully forested.
1	How many times has the South Florida/Miami area hosted the Super Bowl?	The San Francisco Bay Area last hosted in 1985 (Super Bowl XIX), held at Stanford Stadium in Stanford, California, won by the home team 49ers.
1	What type of prime distribution is characterized about x/log x of numbers less than x?	From a physical viewpoint, it roughly states that the irregularity in the distribution of primes only comes from random noise.
0	What is malum in se considerations?	Some legal requirements come from malum in se considerations, or the desire to prevent things that are indisputably bad – bridge collapses or explosions.
1	What was constructed between 1978 and 1982 to link the Henry Cole wing to the rest of the museum?	In 1974 the museum had acquired what is now the Henry Cole wing from the Royal College of Science.
0	ENR used data on what to rank Top 400 firms as heavy contractors?	In their reporting on the Top 400, they used data on transportation, sewer, hazardous waste and water to rank firms as heavy contractors.
0	In 1940, what percentage of the population in Fresno was Asian?	In 1940, the Census Bureau reported Fresno's population as 94.0% white, 3.3% black and 2.7% Asian.
0	What theorem defines the main role of primes in number theory?	The fundamental theorem of arithmetic establishes the central role of primes in number theory: any integer greater than 1 can be expressed as a product of primes that is unique up to ordering.
0	What kicker was successful on a 33-yard field goal?	After the miss, Manning completed a pair of passes to Emmanuel Sanders for gains of 25 and 22 yards, setting up McManus' 33-yard field goal that gave the Broncos a 16–7 lead.
1	In which year was the Salting Bequest made?	Among the finest examples are the Meissen Vulture from 1731 and the Möllendorff Dinner Service, designed in 1762 by Frederick II the Great.
0	What did the reforms cause?	The reforms provoked disturbances, including a revolt by the Augustinian friars against their prior, the smashing of statues and images in churches, and denunciations of the magistracy.
1	Who is required to verify and have existing utility lines marked?	Once construction is complete and a final inspection has been passed, an occupancy permit may be issued.
1	What is Jacksonville's hottest recorded temperature?	These are caused by the rapid heating of the land relative to the water, combined with extremely high humidity.
1	At what size and larger can drugs elicit a neutralizing immune response?	This limits the effectiveness of drugs based on larger peptides and proteins (which are typically larger than 6000 Da).
0	What church runs some private schools in Victoria?	Private fee-paying schools include parish schools run by the Roman Catholic Church and independent schools similar to British public schools.
0	What do apicoplasts synthesize?	they synthesize fatty acids, isopentenyl pyrophosphate, iron-sulfur clusters, and carry out part of the heme pathway.
0	How did Vaudreuil react when Johnson was seen as larger threat?	When Johnson was seen as the larger threat, Vaudreuil sent Dieskau to Fort St. Frédéric to meet that threat.
0	What is the chemical that mediates Type 1 hypersensitivity?	Type I hypersensitivity is mediated by IgE, which triggers degranulation of mast cells and basophils when cross-linked by antigen.
1	How much did the CM weigh in kgs?	The Command Module (CM) was the conical crew cabin, designed to carry three astronauts from launch to lunar orbit and back to an Earth ocean landing.
